,CAN10_1,CAN11_1,CAN5_1,CAN6_1,CAN7_1,CAN8_1,CAN9_1,Year,State
41,14.148446210349585,141.80509346136824,160.4646770250052,6.012224893271922,37.72932817908007,63.70155866251641,22.08621525876225,2025,CT
43,16.575204754372432,121.24848495349288,144.7544445359769,9.930261111259458,44.09869020655751,69.20513570954402,30.51955350749195,2020,FL
44,16.541104426607482,121.69437621831894,144.8606177433394,10.151871263980864,44.66837941259145,68.67494832786421,30.553478939831262,2021,FL
45,16.49603825050095,122.140267483145,144.9668996778317,10.365202689170836,45.21221094131469,68.14483439400793,30.586547279357916,2022,FL
46,16.457863995805372,122.58615874797106,145.0701034278609,10.572856247425078,45.7434247650206,67.61488067495327,30.619513312727218,2023,FL
47,16.422322279214846,123.03205001279711,145.17137397325908,10.778192949295041,46.268311053514466,67.08504988861581,30.652557041123515,2024,FL
48,16.38820847049354,123.47794127762317,145.27114797318353,10.98243383169174,46.789575725793824,66.55529913268984,30.6857222750783,2025,FL
50,13.539787484953798,136.9980200447142,138.50745121709383,8.280469870567321,43.2190648894757,62.851006053512315,27.678062538243832,2020,GA
51,13.473429985841111,137.6026268471032,138.75580393476412,8.3597660779953,43.69970362894237,62.53795892422401,27.79012550842017,2021,GA
52,13.402487063159539,138.21972071714697,139.0019141163056,8.440346205234526,44.19482535235584,62.2234642799944,27.8959798110649,2022,GA
53,13.332633510231963,138.82927219420668,139.24621248121062,8.51979534626007,44.681900514289744,61.908675132319374,28.004129122011367,2023,GA
54,13.2622847440342,139.4414546065032,139.49028820246457,8.599540495872496,45.1733966510743,61.592902176454714,28.110754446499055,2024,GA
55,13.192402805387962,140.05268491506573,139.7343830556919,8.679250109195708,45.66456982456148,61.27662301572666,28.217616404965526,2025,GA
57,13.032464772462841,123.40777683965861,141.9841483938197,7.808708417415619,38.6043126642704,52.7730779518684,30.74255664609373,2020,ID
58,12.8865839254111,123.07383611313998,143.51631848576164,8.151890265941619,39.22603806704283,52.76320009107395,30.77592670992017,2021,ID
59,12.721838124096386,123.20725311115383,144.8688320949673,8.458832347393034,39.77657513618469,52.74639276688303,30.809350347146395,2022,ID
60,12.570057929183037,123.10023009702563,146.34323238047452,8.789642608165739,40.36766389682889,52.729176282882754,30.842850972339516,2023,ID
61,12.408056672041603,123.14613891728223,147.72808390147975,9.100650727748869,40.92447324171662,52.710360999902164,30.8763131171465,2024,ID
62,12.253648798043516,123.0819378528744,149.18175588175643,9.427775561809538,41.509035892039535,52.693622542669466,30.90984648466111,2025,ID
64,13.316654456158474,124.61911075748505,149.08726564086973,8.206399106979369,46.05373278111219,67.88098701486986,23.494095589220525,2020,IL
65,13.267792096982394,125.46015123240652,150.0247377221783,8.355676627159117,46.41684741750359,67.63233568829797,23.55208355486393,2021,IL
66,13.217998274912429,126.29705783538523,150.96635150058813,8.504302620887755,46.770689395815126,67.37938404555125,23.609849993139505,2022,IL
67,13.168019098167608,127.13841985184702,151.911304933764,8.65311493873596,47.12463944554328,67.12580191791061,23.667586544528604,2023,IL
68,13.117860578373064,127.98116376977417,152.8582369005928,8.801894438266752,47.47737106755375,66.8712998254846,23.725281868875026,2024,IL
69,13.067560762787846,128.82501141894613,153.80644714583948,8.950622236728666,47.82939176782965,66.61617704505727,23.782947523891927,2025,IL
71,14.245467551797624,112.54028269387783,139.54160026200114,8.902120971679688,45.71308495849371,77.42361257870995,23.920337757468225,2020,IN
